================================================
  NLOC    CCN   token  PARAM  length  location  
       5      3     15      0       5 (anonymous)@24-28@../../ana.react/src/pages/Members.tsx
      26      5    134      0      32 loadMembers@30-61@../../ana.react/src/pages/Members.tsx
      10      3     75      0      12 validateForm@63-74@../../ana.react/src/pages/Members.tsx
      23      3    109      0      30 addGroupMember@76-105@../../ana.react/src/pages/Members.tsx
       2      1      2      0       2 (anonymous)@116-117@../../ana.react/src/pages/Members.tsx
       4      2     24      0       5 (anonymous)@116-120@../../ana.react/src/pages/Members.tsx
       7      2     37      0      10 checkAdminChanged@107-116@../../ana.react/src/pages/Members.tsx
      22      2    245      0     118 Members@10-127@../../ana.react/src/pages/Members.tsx
       1      1      7      0       1 (anonymous)@138-138@../../ana.react/src/pages/Members.tsx
       1      1      7      0       1 (anonymous)@138-138@../../ana.react/src/pages/Members.tsx
       7      2     33      0      10 removeMember@129-138@../../ana.react/src/pages/Members.tsx
      22      4    122      0     156 *global*@0-155@../../ana.react/src/pages/Members.tsx
      41      1     94      2      41 &&@191-231@../../ana.react/src/pages/Members.tsx
       5      3     15      0       5 (anonymous)@28-32@../../ana.react/src/pages/MyGroups.tsx
      15      5     73      0      17 initializeComponent@34-50@../../ana.react/src/pages/MyGroups.tsx
      16      4     79      0      19 refreshGroups@52-70@../../ana.react/src/pages/MyGroups.tsx
       8      2     55      0      10 validateForm@72-81@../../ana.react/src/pages/MyGroups.tsx
      21      3    109      0      28 addGroup@83-110@../../ana.react/src/pages/MyGroups.tsx
      13      2     72      0      17 switchGroup@112-128@../../ana.react/src/pages/MyGroups.tsx
       1      1     24      2       1 (anonymous)@175-175@../../ana.react/src/pages/MyGroups.tsx
      10      1     23      1      10 &&@186-195@../../ana.react/src/pages/MyGroups.tsx
       1      1      4      0       1 getAccessToken@53-53@../../ana.react/src/services/ApiClient.ts
       1      1      4      0       1 constructor@55-55@../../ana.react/src/services/ApiClient.ts
      36      1    174      0      39 App@13-51@../../ana.react/src/App.tsx
       3      1     21      0       3 (anonymous)@27-29@../../ana.react/vite.config.ts
       3      1     11      0       3 (anonymous)@30-32@../../ana.react/vite.config.ts
       4      1     36      0       8 configure@26-33@../../ana.react/vite.config.ts
      12      1     28      2      19 configure@26-44@../../ana.react/vite.config.ts
20 file analyzed.
==============================================================
NLOC    Avg.NLOC  AvgCCN  Avg.token  function_cnt    file
--------------------------------------------------------------
    111       2.9     1.1        9.9         8     ../../ana.react/src/contexts/SharedStateContext.tsx
    164       5.6     1.9       26.2        20     ../../ana.react/src/contexts/AuthContext.tsx
     71       7.3     2.6       30.3         7     ../../ana.react/src/config/config.tsx
     67      16.5     4.8       72.2         4     ../../ana.react/src/components/Authentication.tsx
     26       0.0     0.0        0.0         0     ../../ana.react/src/components/ProtectedRoute.tsx
     25      18.0     1.0       64.0         1     ../../ana.react/src/components/MainLayout.tsx
     56      13.2     2.2       49.8         4     ../../ana.react/src/components/LoginDisplay.tsx
     94      14.2     1.3       60.7         6     ../../ana.react/src/components/NavMenu.tsx
      9       8.0     1.0       14.0         1     ../../ana.react/src/components/NotFound.tsx
     11       4.0     1.0       21.0         2     ../../ana.react/src/hooks/useApiClient.ts
    199       9.7     2.3       46.0         9     ../../ana.react/src/pages/Settings.tsx
    216      12.8     3.0       75.5        11     ../../ana.react/src/pages/Home.tsx
    195      13.2     2.3       69.5        13     ../../ana.react/src/pages/Members.tsx
    165      11.1     2.6       56.2         8     ../../ana.react/src/pages/MyGroups.tsx
    174       1.0     1.0        4.0         2     ../../ana.react/src/services/ApiClient.ts
     47      36.0     1.0      174.0         1     ../../ana.react/src/App.tsx
     10       0.0     0.0        0.0         0     ../../ana.react/src/main.tsx
      0       0.0     0.0        0.0         0     ../../ana.react/src/vite-env.d.ts
     27       0.0     0.0        0.0         0     ../../ana.react/eslint.config.js
     38       5.5     1.0       24.0         4     ../../ana.react/vite.config.ts

===============================================================================================================
No thresholds exceeded (cyclomatic_complexity > 15 or length > 1000 or nloc > 1000000 or parameter_count > 100)
==========================================================================================
Total nloc   Avg.NLOC  AvgCCN  Avg.token   Fun Cnt  Warning cnt   Fun Rt   nloc Rt
------------------------------------------------------------------------------------------
      1705       9.6     2.1       46.2      101            0      0.00    0.00
